Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDgzMzgwNDA2NDIxNjU4OjE2OTc4ODUzNjg6c3BfbXRmOjIwMTUyNzA5Mjk0Mzk4OjowOjo&url=%2FFunk-Hire-Leatherette-Backpack-Shoulder%2Fdp%2FB08X4H3M6Y%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dbags%26qid%3D1697885368%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Funk For Hire Leatherette Printed 2 in 1 Backpack Shoulder Bag Handbag fit up to 15.6"" Laptop",449,4.3 out of 5 stars,203
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_45?keywords=bags&qid=1697885368&sr=8-45,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,469,4.4 out of 5 stars,"7,728"
https://www.amazon.in/ANTILS%C2%AE-Water-Rubber-Relief-Therapy/dp/B08PFTYB2N/ref=sr_1_46?keywords=bags&qid=1697885368&sr=8-46,ANTIL'S® Hot Water Rubber Bottle bag for Pain Relief Therapy (Pack of 1) Multicolor,918,4.0 out of 5 stars,"4,528"
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_47?keywords=bags&qid=1697885368&sr=8-47,ADISA 31 Ltrs Casual Backpack School College Bag Pack,599,4.0 out of 5 stars,359
https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RSCPH4N/ref=sr_1_48?keywords=bags&qid=1697885368&sr=8-48,"amazon basics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",952,4.4 out of 5 stars,"11,787"
https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B28M2RN/ref=sr_1_49?keywords=bags&qid=1697885368&sr=8-49,Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),"2,348",4.0 out of 5 stars,602
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2/ref=sr_1_50?keywords=bags&qid=1697885368&sr=8-50,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,"2,379",3.5 out of 5 stars,359
https://www.amazon.in/Right-Choice-Stylish-College-Backpack/dp/B07ZVXDHCK/ref=sr_1_51?keywords=bags&qid=1697885368&sr=8-51,RIGHT CHOICE quality stylish casual backpack daily use unisex typography college bags (Boys and Girls),210,3.5 out of 5 stars,"1,013"
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY/ref=sr_1_52?keywords=bags&qid=1697885368&sr=8-52,"Presto! Oxo-Biodegradable Garbage Bags, XL (30 x 37 inches) - 10 bags/roll (Pack of 6, Black, plastic)",349,4.3 out of 5 stars,"2,114"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDgzMzgwNDA2NDIxNjU4OjE2OTc4ODUzNjg6c3BfYnRmOjIwMTY0NjM1MDA4NTk4OjowOjo&url=%2FPramadda-Pure-Luxury-Backpack-Bagpacks%2Fdp%2FB0C6NNPZTC%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dbags%26qid%3D1697885368%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Pramadda Pure Luxury Milan Casual Vegan Leather 15.6 inch Laptop Backpack for Men and Women | Stylish School College Office Travel Bagpacks | Trendy Office Laptop Bag For Men.,375,4.3 out of 5 stars,43
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDgzMzgwNDA2NDIxNjU4OjE2OTc4ODUzNjg6c3BfYnRmOjMwMDA3MTgyMTA3ODkzMjo6MDo6&url=%2FHEROZ-Backpack-Swimming-Resistant-Notebook%2Fdp%2FB08CSWQF93%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dbags%26qid%3D1697885368%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Combo Hammer & Young Gym bgas Unisex Nylon 45 L+22 L Travel Laptop Backpack Yoga Swimming Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop (Grey & Navy Blue),599,4.1 out of 5 stars,434
https://aax-eu.amazon.in/x/c/RPH6pVXpB2wQqbiMu1mvKXAAAAGLUdqybwMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCvfGXL/https://www.amazon.in/Lunars-Travel-Laptop-Bag-compartments/dp/B08NHH8Q5X/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3%3Aamzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08NHH8Q5X&pd_rd_r=378837ae-0d82-4617-b9a4-a594e3c3a8e9&pd_rd_w=DDKaG&pd_rd_wg=RezWu&pf_rd_p=b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&pf_rd_r=D4B8HYNMH012NP6MZEGQ&qid=1697885368&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sr=1-33-ad43fbe4-6f9c-4603-ab45-acb189caa93f,"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments",649,4.0 out of 5 stars,"2,756"
